Sport,Rank,variable,value,Archery
Archery,55,Endurance,2.88,True
Auto Racing,32,Endurance,5.88,False
Badminton,30,Endurance,5.25,False
Baseball/Softball,9,Endurance,4.63,False
Basketball,4,Endurance,7.38,False
Billiards,59,Endurance,1.0,False
Bobsledding/Luge,28,Endurance,3.5,False
Bowling,57,Endurance,2.25,False
Boxing,1,Endurance,8.63,False
Canoe/Kayak,49,Endurance,6.75,False
Cheerleading,52,Endurance,3.63,False
Curling,56,Endurance,2.25,False
Cycling: Distance,20,Endurance,9.63,False
Cycling: Sprints,27,Endurance,4.25,False
Diving,35,Endurance,2.88,False
Equestrian,54,Endurance,3.38,False
Fencing,24,Endurance,4.63,False
Field Hockey,17,Endurance,6.75,False
Figure Skating,19,Endurance,6.38,False
Fishing,60,Endurance,1.38,False
Football,3,Endurance,5.38,False
Golf,51,Endurance,3.25,False
Gymnastics,8,Endurance,5.38,False
Horse Racing,50,Endurance,4.0,False
Ice Hockey,2,Endurance,7.25,False
Lacrosse,14,Endurance,6.63,False
Martial Arts,6,Endurance,5.0,False
Racquetball/Squash,22,Endurance,6.13,False
Rodeo: Bull/Bareback/Bronc Riding,42,Endurance,3.25,False
Rodeo: Calf Roping,40,Endurance,3.13,False
Rodeo: Steer Wrestling,15,Endurance,4.0,False
Roller Skating,52,Endurance,4.75,False
Rowing,39,Endurance,8.13,False
Rugby,13,Endurance,6.75,False
Shooting,58,Endurance,2.25,False
Skateboarding,37,Endurance,4.13,False
Ski Jumping,29,Endurance,3.5,False
Skiing: Alpine,11,Endurance,5.13,False
Skiing: Freestyle,25,Endurance,4.13,False
Skiing: Nordic,30,Endurance,9.0,False
Soccer,10,Endurance,7.75,False
Speed Skating,17,Endurance,7.63,False
Surfing,23,Endurance,4.63,False
Swimming (all strokes): Distance,36,Endurance,9.25,False
Swimming (all strokes): Sprints,45,Endurance,4.13,False
Table Tennis,47,Endurance,3.5,False
Team Handball,26,Endurance,4.88,False
Tennis,7,Endurance,7.25,False
Track and Field: Distance,40,Endurance,9.63,False
Track and Field: High Jump,33,Endurance,3.0,False
"Track and Field: Long, Triple jumps",34,Endurance,4.0,False
Track and Field: Middle Distance,43,Endurance,6.0,False
Track and Field: Pole Vault,16,Endurance,3.38,False
Track and Field: Sprints,38,Endurance,3.5,False
Track and Field: Weights,48,Endurance,3.25,False
Volleyball,20,Endurance,5.13,False
Water Polo,11,Endurance,7.88,False
Water Skiing,46,Endurance,4.63,False
Weight-Lifting,44,Endurance,4.13,False
Wrestling,5,Endurance,6.63,False
Archery,55,Strength,4.5,True
Auto Racing,32,Strength,3.5,False
Badminton,30,Strength,3.25,False
Baseball/Softball,9,Strength,5.75,False
Basketball,4,Strength,6.25,False
Billiards,59,Strength,1.0,False
Bobsledding/Luge,28,Strength,5.5,False
Bowling,57,Strength,2.75,False
Boxing,1,Strength,8.13,False
Canoe/Kayak,49,Strength,5.25,False
Cheerleading,52,Strength,3.63,False
Curling,56,Strength,2.63,False
Cycling: Distance,20,Strength,6.38,False
Cycling: Sprints,27,Strength,6.13,False
Diving,35,Strength,5.13,False
Equestrian,54,Strength,3.25,False
Fencing,24,Strength,3.75,False
Field Hockey,17,Strength,4.5,False
Figure Skating,19,Strength,5.25,False
Fishing,60,Strength,1.63,False
Football,3,Strength,8.63,False
Golf,51,Strength,3.88,False
Gymnastics,8,Strength,6.13,False
Horse Racing,50,Strength,3.88,False
Ice Hockey,2,Strength,7.13,False
Lacrosse,14,Strength,5.13,False
Martial Arts,6,Strength,5.88,False
Racquetball/Squash,22,Strength,3.75,False
Rodeo: Bull/Bareback/Bronc Riding,42,Strength,5.38,False
Rodeo: Calf Roping,40,Strength,5.38,False
Rodeo: Steer Wrestling,15,Strength,7.0,False
Roller Skating,52,Strength,3.38,False
Rowing,39,Strength,7.75,False
Rugby,13,Strength,7.0,False
Shooting,58,Strength,2.5,False
Skateboarding,37,Strength,3.75,False
Ski Jumping,29,Strength,4.5,False
Skiing: Alpine,11,Strength,5.25,False
Skiing: Freestyle,25,Strength,5.13,False
Skiing: Nordic,30,Strength,5.75,False
Soccer,10,Strength,4.5,False
Speed Skating,17,Strength,7.25,False
Surfing,23,Strength,5.0,False
Swimming (all strokes): Distance,36,Strength,5.25,False
Swimming (all strokes): Sprints,45,Strength,5.25,False
Table Tennis,47,Strength,2.5,False
Team Handball,26,Strength,3.88,False
Tennis,7,Strength,5.13,False
Track and Field: Distance,40,Strength,5.25,False
Track and Field: High Jump,33,Strength,6.0,False
"Track and Field: Long, Triple jumps",34,Strength,5.63,False
Track and Field: Middle Distance,43,Strength,5.13,False
Track and Field: Pole Vault,16,Strength,6.88,False
Track and Field: Sprints,38,Strength,5.13,False
Track and Field: Weights,48,Strength,7.88,False
Volleyball,20,Strength,4.88,False
Water Polo,11,Strength,6.63,False
Water Skiing,46,Strength,5.0,False
Weight-Lifting,44,Strength,9.25,False
Wrestling,5,Strength,8.38,False
