id,variable,value
1,cat 1,49554
2,cat 1,15787
3,cat 1,2525
4,cat 1,1678
5,cat 1,1514
6,cat 1,987
7,cat 1,574
8,cat 1,-331
9,cat 1,-7652
10,cat 1,-11234
11,cat 1,-18214
12,cat 1,0
1,cat 2,19837
2,cat 2,5987
3,cat 2,1214
4,cat 2,1226
5,cat 2,542
6,cat 2,120
7,cat 2,69
8,cat 2,0
9,cat 2,0
10,cat 2,0
11,cat 2,0
12,cat 2,0
1,cat 3,19890
2,cat 3,7989
3,cat 3,7762
4,cat 3,5643
5,cat 3,4991
6,cat 3,-363
7,cat 3,-2114
8,cat 3,-3711
9,cat 3,0
10,cat 3,0
11,cat 3,0
12,cat 3,0
1,cat 4,36555
2,cat 4,14989
3,cat 4,5647
4,cat 4,3968
5,cat 4,1987
6,cat 4,1494
7,cat 4,896
8,cat 4,698
9,cat 4,124
10,cat 4,-408
11,cat 4,-6564
12,cat 4,-12268
1,cat 5,37865
2,cat 5,3425
3,cat 5,3321
4,cat 5,-10210
5,cat 5,-13289
6,cat 5,0
7,cat 5,0
8,cat 5,0
9,cat 5,0
10,cat 5,0
11,cat 5,0
12,cat 5,0
1,cat 6,44323
2,cat 6,43421
3,cat 6,21010
4,cat 6,9875
5,cat 6,7674
6,cat 6,5534
7,cat 6,2331
8,cat 6,453
9,cat 6,411
10,cat 6,-7674
11,cat 6,-8723
12,cat 6,-32111
1,sum,208024
2,sum,91598
3,sum,41479
4,sum,12180
5,sum,3419
6,sum,7772
7,sum,1756
8,sum,-2891
9,sum,-7117
10,sum,-19316
11,sum,-33501
12,sum,-44379
