Location,Rae,2009,2010,2011,2012,2013,2014
United States,White,13.3,13.7,13.4,13.1,12.9,10.4
United States,Black or African American,18.1,18.2,17.7,17.3,17.1,13.6
United States,American Indian or Alaska Native,29.2,29.2,27.6,27.4,26.9,23.1
United States,Asian,14.8,15.7,15.4,15,14.6,10.6
United States,Native Hawaiian or Pacific Islander,17.3,17.4,18.5,18,17.9,13.5
United States,Other Race,34.1,34.6,33.6,32.3,31.7,26.1
United States,Two or more races,14.5,14.9,14.4,14,13.2,10.4
United States,"White,not Hispanic or Latino",10.7,10.9,10.7,10.4,10.2,8.1
United States,Hispanic or Latino,31,30.9,29.8,29,28.4,23.5
Arizona,White,16.3,15.6,15.7,16,15.7,12.2
Arizona,Black or African American,15.9,15.3,18.2,16.2,17.4,11.1
Arizona,American Indian or Alaska Native,30.6,30.8,27.5,29.3,26.9,24.1
Arizona,Asian,15,12.1,15.1,16.2,15.1,11
Arizona,Native Hawaiian or Pacific Islander,25.5,11.9,30.2,16.6,21.3,18.4
Arizona,Other Race,23.7,27.1,28.4,31,30.1,27.2
Arizona,Two or more races,14.3,14.7,18.2,16.5,15.2,13.2
Arizona,"White,not Hispanic or Latino",11.1,10.9,10.9,11.3,11.2,8.6
Arizona,Hispanic or Latino,27.9,27.4,27.8,28.3,27.5,22.2
Maricopa,White,17.6,16.2,16.2,16.4,16.3,12.4
Maricopa,Black or African American,16.4,16.3,18.7,16.9,17.9,11.6
Maricopa,American Indian or Alaska Native,16.4,40.5,33.9,30.8,14.8,29.6
Maricopa,Asian,37.6,11.1,16.2,17.3,15,10.2
Maricopa,Native Hawaiian or Pacific Islander,14.5,13.1,31.4,16.1,29.9,14.6
Maricopa,Other Race,23.3,28.4,32.9,32.1,32.8,27.6
Maricopa,Two or more races,25.3,14.1,18.7,14.3,15.3,13.9
Maricopa,"White,not Hispanic or Latino",15.1,10.6,10.5,10.8,10.9,8.1
Maricopa,Hispanic or Latino,11,29.9,30.6,30.6,30.3,23.9
