Location,Rae,variable,value
United States,White,2009,13.3
United States,Black or African American,2009,18.1
United States,American Indian or Alaska Native,2009,29.2
United States,Asian,2009,14.8
United States,Native Hawaiian or Pacific Islander,2009,17.3
United States,Other Race,2009,34.1
United States,Two or more races,2009,14.5
United States,"White,not Hispanic or Latino",2009,10.7
United States,Hispanic or Latino,2009,31.0
Arizona,White,2009,16.3
Arizona,Black or African American,2009,15.9
Arizona,American Indian or Alaska Native,2009,30.6
Arizona,Asian,2009,15.0
Arizona,Native Hawaiian or Pacific Islander,2009,25.5
Arizona,Other Race,2009,23.7
Arizona,Two or more races,2009,14.3
Arizona,"White,not Hispanic or Latino",2009,11.1
Arizona,Hispanic or Latino,2009,27.9
Maricopa,White,2009,17.6
Maricopa,Black or African American,2009,16.4
Maricopa,American Indian or Alaska Native,2009,16.4
Maricopa,Asian,2009,37.6
Maricopa,Native Hawaiian or Pacific Islander,2009,14.5
Maricopa,Other Race,2009,23.3
Maricopa,Two or more races,2009,25.3
Maricopa,"White,not Hispanic or Latino",2009,15.1
Maricopa,Hispanic or Latino,2009,11.0
United States,White,2010,13.7
United States,Black or African American,2010,18.2
United States,American Indian or Alaska Native,2010,29.2
United States,Asian,2010,15.7
United States,Native Hawaiian or Pacific Islander,2010,17.4
United States,Other Race,2010,34.6
United States,Two or more races,2010,14.9
United States,"White,not Hispanic or Latino",2010,10.9
United States,Hispanic or Latino,2010,30.9
Arizona,White,2010,15.6
Arizona,Black or African American,2010,15.3
Arizona,American Indian or Alaska Native,2010,30.8
Arizona,Asian,2010,12.1
Arizona,Native Hawaiian or Pacific Islander,2010,11.9
Arizona,Other Race,2010,27.1
Arizona,Two or more races,2010,14.7
Arizona,"White,not Hispanic or Latino",2010,10.9
Arizona,Hispanic or Latino,2010,27.4
Maricopa,White,2010,16.2
Maricopa,Black or African American,2010,16.3
Maricopa,American Indian or Alaska Native,2010,40.5
Maricopa,Asian,2010,11.1
Maricopa,Native Hawaiian or Pacific Islander,2010,13.1
Maricopa,Other Race,2010,28.4
Maricopa,Two or more races,2010,14.1
Maricopa,"White,not Hispanic or Latino",2010,10.6
Maricopa,Hispanic or Latino,2010,29.9
United States,White,2011,13.4
United States,Black or African American,2011,17.7
United States,American Indian or Alaska Native,2011,27.6
United States,Asian,2011,15.4
United States,Native Hawaiian or Pacific Islander,2011,18.5
United States,Other Race,2011,33.6
United States,Two or more races,2011,14.4
United States,"White,not Hispanic or Latino",2011,10.7
United States,Hispanic or Latino,2011,29.8
Arizona,White,2011,15.7
Arizona,Black or African American,2011,18.2
Arizona,American Indian or Alaska Native,2011,27.5
Arizona,Asian,2011,15.1
Arizona,Native Hawaiian or Pacific Islander,2011,30.2
Arizona,Other Race,2011,28.4
Arizona,Two or more races,2011,18.2
Arizona,"White,not Hispanic or Latino",2011,10.9
Arizona,Hispanic or Latino,2011,27.8
Maricopa,White,2011,16.2
Maricopa,Black or African American,2011,18.7
Maricopa,American Indian or Alaska Native,2011,33.9
Maricopa,Asian,2011,16.2
Maricopa,Native Hawaiian or Pacific Islander,2011,31.4
Maricopa,Other Race,2011,32.9
Maricopa,Two or more races,2011,18.7
Maricopa,"White,not Hispanic or Latino",2011,10.5
Maricopa,Hispanic or Latino,2011,30.6
United States,White,2012,13.1
United States,Black or African American,2012,17.3
United States,American Indian or Alaska Native,2012,27.4
United States,Asian,2012,15.0
United States,Native Hawaiian or Pacific Islander,2012,18.0
United States,Other Race,2012,32.3
United States,Two or more races,2012,14.0
United States,"White,not Hispanic or Latino",2012,10.4
United States,Hispanic or Latino,2012,29.0
Arizona,White,2012,16.0
Arizona,Black or African American,2012,16.2
Arizona,American Indian or Alaska Native,2012,29.3
Arizona,Asian,2012,16.2
Arizona,Native Hawaiian or Pacific Islander,2012,16.6
Arizona,Other Race,2012,31.0
Arizona,Two or more races,2012,16.5
Arizona,"White,not Hispanic or Latino",2012,11.3
Arizona,Hispanic or Latino,2012,28.3
Maricopa,White,2012,16.4
Maricopa,Black or African American,2012,16.9
Maricopa,American Indian or Alaska Native,2012,30.8
Maricopa,Asian,2012,17.3
Maricopa,Native Hawaiian or Pacific Islander,2012,16.1
Maricopa,Other Race,2012,32.1
Maricopa,Two or more races,2012,14.3
Maricopa,"White,not Hispanic or Latino",2012,10.8
Maricopa,Hispanic or Latino,2012,30.6
United States,White,2013,12.9
United States,Black or African American,2013,17.1
United States,American Indian or Alaska Native,2013,26.9
United States,Asian,2013,14.6
United States,Native Hawaiian or Pacific Islander,2013,17.9
United States,Other Race,2013,31.7
United States,Two or more races,2013,13.2
United States,"White,not Hispanic or Latino",2013,10.2
United States,Hispanic or Latino,2013,28.4
Arizona,White,2013,15.7
Arizona,Black or African American,2013,17.4
Arizona,American Indian or Alaska Native,2013,26.9
Arizona,Asian,2013,15.1
Arizona,Native Hawaiian or Pacific Islander,2013,21.3
Arizona,Other Race,2013,30.1
Arizona,Two or more races,2013,15.2
Arizona,"White,not Hispanic or Latino",2013,11.2
Arizona,Hispanic or Latino,2013,27.5
Maricopa,White,2013,16.3
Maricopa,Black or African American,2013,17.9
Maricopa,American Indian or Alaska Native,2013,14.8
Maricopa,Asian,2013,15.0
Maricopa,Native Hawaiian or Pacific Islander,2013,29.9
Maricopa,Other Race,2013,32.8
Maricopa,Two or more races,2013,15.3
Maricopa,"White,not Hispanic or Latino",2013,10.9
Maricopa,Hispanic or Latino,2013,30.3
United States,White,2014,10.4
United States,Black or African American,2014,13.6
United States,American Indian or Alaska Native,2014,23.1
United States,Asian,2014,10.6
United States,Native Hawaiian or Pacific Islander,2014,13.5
United States,Other Race,2014,26.1
United States,Two or more races,2014,10.4
United States,"White,not Hispanic or Latino",2014,8.1
United States,Hispanic or Latino,2014,23.5
Arizona,White,2014,12.2
Arizona,Black or African American,2014,11.1
Arizona,American Indian or Alaska Native,2014,24.1
Arizona,Asian,2014,11.0
Arizona,Native Hawaiian or Pacific Islander,2014,18.4
Arizona,Other Race,2014,27.2
Arizona,Two or more races,2014,13.2
Arizona,"White,not Hispanic or Latino",2014,8.6
Arizona,Hispanic or Latino,2014,22.2
Maricopa,White,2014,12.4
Maricopa,Black or African American,2014,11.6
Maricopa,American Indian or Alaska Native,2014,29.6
Maricopa,Asian,2014,10.2
Maricopa,Native Hawaiian or Pacific Islander,2014,14.6
Maricopa,Other Race,2014,27.6
Maricopa,Two or more races,2014,13.9
Maricopa,"White,not Hispanic or Latino",2014,8.1
Maricopa,Hispanic or Latino,2014,23.9
