C1,C2,variable,value
Q1,Targeted,EMEA,66
Q1,Engaged,EMEA,65
Q1,Pitched,EMEA,59
Q1,Adopted,EMEA,52
Q2,Targeted,EMEA,56
Q2,Engaged,EMEA,54
Q2,Pitched,EMEA,50
Q2,Adopted,EMEA,42
Q3,Targeted,EMEA,91
Q3,Engaged,EMEA,78
Q3,Pitched,EMEA,72
Q3,Adopted,EMEA,62
Q1,Targeted,LATAM,48
Q1,Engaged,LATAM,48
Q1,Pitched,LATAM,44
Q1,Adopted,LATAM,31
Q2,Targeted,LATAM,43
Q2,Engaged,LATAM,41
Q2,Pitched,LATAM,37
Q2,Adopted,LATAM,26
Q3,Targeted,LATAM,95
Q3,Engaged,LATAM,80
Q3,Pitched,LATAM,73
Q3,Adopted,LATAM,53
Q1,Targeted,North_America,56
Q1,Engaged,North_America,52
Q1,Pitched,North_America,45
Q1,Adopted,North_America,36
Q2,Targeted,North_America,50
Q2,Engaged,North_America,43
Q2,Pitched,North_America,39
Q2,Adopted,North_America,31
Q3,Targeted,North_America,70
Q3,Engaged,North_America,55
Q3,Pitched,North_America,50
Q3,Adopted,North_America,40
Q1,Targeted,APAC,48
Q1,Engaged,APAC,47
Q1,Pitched,APAC,45
Q1,Adopted,APAC,38
Q2,Targeted,APAC,39
Q2,Engaged,APAC,37
Q2,Pitched,APAC,35
Q2,Adopted,APAC,27
Q3,Targeted,APAC,87
Q3,Engaged,APAC,75
Q3,Pitched,APAC,74
Q3,Adopted,APAC,59
