Year,variable,value
2001,Actual,1000
2002,Actual,1050
2003,Actual,1110
2004,Actual,1180
2005,Actual,1260
2006,Actual,1350
2007,Actual,1450
2008,Actual,1560
2009,Actual,1680
2010,Actual,1810
2011,Actual,1950
2012,Actual,2100
2013,Actual,2260
2014,Actual,2430
2015,Actual,2610
2016,Actual,2800
2017,Actual,3000
2018,Actual,3210
2025,Actual,0
2030,Actual,0
2040,Actual,0
2001,Projected,0
2002,Projected,0
2003,Projected,0
2004,Projected,0
2005,Projected,0
2006,Projected,0
2007,Projected,0
2008,Projected,0
2009,Projected,0
2010,Projected,0
2011,Projected,0
2012,Projected,0
2013,Projected,0
2014,Projected,0
2015,Projected,0
2016,Projected,0
2017,Projected,0
2018,Projected,3210
2025,Projected,4960
2030,Projected,6510
2040,Projected,10360
