Order ID,Product,Category,Amount,Date,Country
1,Carrots,Vegetables,4270,1/6/2012,United States
2,Broccoli,Vegetables,8239,1/7/2012,United Kingdom
3,Banana,Fruit,617,1/8/2012,United States
4,Banana,Fruit,8384,1/10/2012,Canada
5,Beans,Vegetables,2626,1/10/2012,Germany
6,Orange,Fruit,3610,1/11/2012,United States
7,Broccoli,Vegetables,9062,1/11/2012,Australia
8,Banana,Fruit,6906,1/16/2012,New Zealand
9,Apple,Fruit,2417,1/16/2012,France
10,Apple,Fruit,7431,1/16/2012,Canada
11,Banana,Fruit,8250,1/16/2012,Germany
12,Broccoli,Vegetables,7012,1/18/2012,United States
13,Carrots,Vegetables,1903,1/20/2012,Germany
14,Broccoli,Vegetables,2824,1/22/2012,Canada
15,Apple,Fruit,6946,1/24/2012,France
16,Banana,Fruit,2320,1/27/2012,United Kingdom
17,Banana,Fruit,2116,1/28/2012,United States
18,Banana,Fruit,1135,1/30/2012,United Kingdom
19,Broccoli,Vegetables,3595,1/30/2012,United Kingdom
20,Apple,Fruit,1161,2/2/2012,United States
21,Orange,Fruit,2256,2/4/2012,France
22,Banana,Fruit,1004,2/11/2012,New Zealand
23,Banana,Fruit,3642,2/14/2012,Canada
24,Banana,Fruit,4582,2/17/2012,United States
25,Beans,Vegetables,3559,2/17/2012,United Kingdom
26,Carrots,Vegetables,5154,2/17/2012,Australia
27,Mango,Fruit,7388,2/18/2012,France
28,Beans,Vegetables,7163,2/18/2012,United States
29,Beans,Vegetables,5101,2/20/2012,Germany
30,Apple,Fruit,7602,2/21/2012,France
31,Mango,Fruit,1641,2/22/2012,United States
32,Apple,Fruit,8892,2/23/2012,Australia
33,Apple,Fruit,2060,2/29/2012,France
34,Broccoli,Vegetables,1557,2/29/2012,Germany
35,Apple,Fruit,6509,3/1/2012,France
36,Apple,Fruit,5718,3/4/2012,Australia
37,Apple,Fruit,7655,3/5/2012,United States
38,Carrots,Vegetables,9116,3/5/2012,United Kingdom
39,Banana,Fruit,2795,3/15/2012,United States
40,Banana,Fruit,5084,3/15/2012,United States
41,Carrots,Vegetables,8941,3/15/2012,United Kingdom
42,Broccoli,Vegetables,5341,3/16/2012,France
43,Banana,Fruit,135,3/19/2012,Canada
44,Banana,Fruit,9400,3/19/2012,Australia
45,Beans,Vegetables,6045,3/21/2012,Germany
46,Apple,Fruit,5820,3/22/2012,New Zealand
47,Orange,Fruit,8887,3/23/2012,Germany
48,Orange,Fruit,6982,3/24/2012,United States
49,Banana,Fruit,4029,3/26/2012,Australia
50,Carrots,Vegetables,3665,3/26/2012,Germany
51,Banana,Fruit,4781,3/29/2012,France
52,Mango,Fruit,3663,3/30/2012,Australia
53,Apple,Fruit,6331,4/1/2012,France
54,Apple,Fruit,4364,4/1/2012,Canada
55,Carrots,Vegetables,607,4/3/2012,United Kingdom
56,Banana,Fruit,1054,4/6/2012,New Zealand
57,Carrots,Vegetables,7659,4/6/2012,United States
58,Broccoli,Vegetables,277,4/12/2012,Germany
59,Banana,Fruit,235,4/17/2012,United States
60,Orange,Fruit,1113,4/18/2012,Australia
61,Apple,Fruit,1128,4/21/2012,United States
62,Broccoli,Vegetables,9231,4/22/2012,Canada
63,Banana,Fruit,4387,4/23/2012,United States
64,Apple,Fruit,2763,4/25/2012,Canada
65,Banana,Fruit,7898,4/27/2012,United Kingdom
66,Banana,Fruit,2427,4/30/2012,France
67,Banana,Fruit,8663,5/1/2012,New Zealand
68,Carrots,Vegetables,2789,5/1/2012,Germany
69,Banana,Fruit,4054,5/2/2012,United States
70,Mango,Fruit,2262,5/2/2012,United States
71,Mango,Fruit,5600,5/2/2012,United Kingdom
72,Banana,Fruit,5787,5/3/2012,United States
73,Orange,Fruit,6295,5/3/2012,Canada
74,Banana,Fruit,474,5/5/2012,Germany
75,Apple,Fruit,4325,5/5/2012,France
76,Banana,Fruit,592,5/6/2012,United States
77,Orange,Fruit,4330,5/8/2012,United States
78,Banana,Fruit,9405,5/8/2012,United Kingdom
79,Apple,Fruit,7671,5/8/2012,France
80,Carrots,Vegetables,5791,5/8/2012,United Kingdom
81,Banana,Fruit,6007,5/12/2012,Canada
82,Banana,Fruit,5030,5/14/2012,Germany
83,Carrots,Vegetables,6763,5/14/2012,United Kingdom
84,Banana,Fruit,4248,5/15/2012,Australia
85,Banana,Fruit,9543,5/16/2012,France
86,Broccoli,Vegetables,2054,5/16/2012,United Kingdom
87,Beans,Vegetables,7094,5/16/2012,Germany
88,Carrots,Vegetables,6087,5/18/2012,United States
89,Apple,Fruit,4264,5/19/2012,Australia
90,Mango,Fruit,9333,5/20/2012,United States
91,Mango,Fruit,8775,5/22/2012,Germany
92,Broccoli,Vegetables,2011,5/23/2012,United Kingdom
93,Banana,Fruit,5632,5/25/2012,United States
94,Banana,Fruit,4904,5/25/2012,New Zealand
95,Beans,Vegetables,1002,5/25/2012,Australia
96,Orange,Fruit,8141,5/26/2012,United Kingdom
97,Orange,Fruit,3644,5/26/2012,Canada
98,Orange,Fruit,1380,5/26/2012,Australia
99,Broccoli,Vegetables,8354,5/26/2012,Germany
100,Banana,Fruit,5182,5/27/2012,United States
101,Apple,Fruit,2193,5/27/2012,France
102,Mango,Fruit,3647,5/28/2012,United States
103,Apple,Fruit,4104,5/28/2012,United States
104,Carrots,Vegetables,7457,5/28/2012,United States
105,Mango,Fruit,3767,5/29/2012,Canada
106,Broccoli,Vegetables,4685,5/30/2012,Germany
107,Banana,Fruit,3917,6/4/2012,United States
108,Apple,Fruit,521,6/4/2012,Canada
109,Apple,Fruit,5605,6/10/2012,France
110,Broccoli,Vegetables,9630,6/11/2012,Germany
111,Banana,Fruit,6941,6/20/2012,Canada
112,Broccoli,Vegetables,7231,6/20/2012,United Kingdom
113,Broccoli,Vegetables,8891,6/23/2012,Australia
114,Banana,Fruit,107,6/25/2012,France
115,Banana,Fruit,4243,6/26/2012,United States
116,Orange,Fruit,4514,6/27/2012,United States
117,Mango,Fruit,5480,7/2/2012,United States
118,Banana,Fruit,5002,7/2/2012,France
119,Banana,Fruit,8530,7/5/2012,Canada
120,Orange,Fruit,4819,7/7/2012,New Zealand
121,Broccoli,Vegetables,6343,7/11/2012,United Kingdom
122,Orange,Fruit,2318,7/13/2012,United Kingdom
123,Orange,Fruit,220,7/20/2012,United Kingdom
124,Orange,Fruit,6341,7/20/2012,New Zealand
125,Apple,Fruit,330,7/20/2012,Germany
126,Broccoli,Vegetables,3027,7/20/2012,United Kingdom
