Country,Total Result,variable,value
Australia,40492,Beans,14433
Canada,12407,Beans,0
France,15125,Beans,680
Germany,88738,Beans,29905
New Zealand,4390,Beans,0
United Kingdom,85351,Beans,5100
United States,90162,Beans,7163
Australia,40492,Broccoli,17953
Canada,12407,Broccoli,12407
France,15125,Broccoli,5341
Germany,88738,Broccoli,37197
New Zealand,4390,Broccoli,4390
United Kingdom,85351,Broccoli,38436
United States,90162,Broccoli,26715
Australia,40492,Carrots,8106
Canada,12407,Carrots,0
France,15125,Carrots,9104
Germany,88738,Carrots,21636
New Zealand,4390,Carrots,0
United Kingdom,85351,Carrots,41815
United States,90162,Carrots,56284
