label,variable,value
Category 1,2008,61
Category 2,2008,128
Category 3,2008,12
Category 4,2008,93
Category 5,2008,88
Category 6,2008,22
Category 1,2009,70
Category 2,2009,22
Category 3,2009,95
Category 4,2009,24
Category 5,2009,73
Category 6,2009,28
Category 1,2010,4
Category 2,2010,91
Category 3,2010,35
Category 4,2010,16
Category 5,2010,129
Category 6,2010,94
Category 1,2011,55
Category 2,2011,61
Category 3,2011,12
Category 4,2011,27
Category 5,2011,23
Category 6,2011,74
Category 1,2012,144
Category 2,2012,55
Category 3,2012,22
Category 4,2012,55
Category 5,2012,101
Category 6,2012,60
Category 1,2013,132
Category 2,2013,47
Category 3,2013,82
Category 4,2013,13
Category 5,2013,23
Category 6,2013,83
