TOTAL,Category,variable,value
645,HOME APPLIANCES,<-10%,451
568,COMPUTERS,<-10%,394
355,CAMERAS & CAMCORDERS,<-10%,245
265,CELL PHONES,<-10%,185
205,TV & VIDEO,<-10%,143
166,GAMES & TOYS,<-10%,101
100,AUDIO,<-10%,66
90,"MUSIC, MOVIES & AUDIO BOOKS",<-10%,75
645,HOME APPLIANCES,<0%,506
568,COMPUTERS,<0%,450
355,CAMERAS & CAMCORDERS,<0%,261
265,CELL PHONES,<0%,202
205,TV & VIDEO,<0%,160
166,GAMES & TOYS,<0%,132
100,AUDIO,<0%,81
90,"MUSIC, MOVIES & AUDIO BOOKS",<0%,64
645,HOME APPLIANCES,>10%,464
568,COMPUTERS,>10%,395
355,CAMERAS & CAMCORDERS,>10%,272
265,CELL PHONES,>10%,196
205,TV & VIDEO,>10%,149
166,GAMES & TOYS,>10%,124
100,AUDIO,>10%,66
90,"MUSIC, MOVIES & AUDIO BOOKS",>10%,61
645,HOME APPLIANCES,>=0%,514
568,COMPUTERS,>=0%,465
355,CAMERAS & CAMCORDERS,>=0%,287
265,CELL PHONES,>=0%,212
205,TV & VIDEO,>=0%,163
166,GAMES & TOYS,>=0%,141
100,AUDIO,>=0%,87
90,"MUSIC, MOVIES & AUDIO BOOKS",>=0%,70
