Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
51,35,14,2,setosa
49,3,14,2,setosa
47,32,13,2,setosa
46,31,15,2,setosa
5,36,14,2,setosa
54,39,17,4,setosa
46,34,14,3,setosa
5,34,15,2,setosa
44,29,14,2,setosa
49,31,15,1,setosa
54,37,15,2,setosa
48,34,16,2,setosa
48,3,14,1,setosa
43,3,11,1,setosa
58,4,12,2,setosa
57,44,15,4,setosa
54,39,13,4,setosa
51,35,14,3,setosa
57,38,17,3,setosa
51,38,15,3,setosa
54,34,17,2,setosa
51,37,15,4,setosa
46,36,1,2,setosa
51,33,17,5,setosa
48,34,19,2,setosa
5,3,16,2,setosa
5,34,16,4,setosa
52,35,15,2,setosa
52,34,14,2,setosa
47,32,16,2,setosa
48,31,16,2,setosa
54,34,15,4,setosa
52,41,15,1,setosa
55,42,14,2,setosa
49,31,15,2,setosa
5,32,12,2,setosa
55,35,13,2,setosa
49,36,14,1,setosa
44,3,13,2,setosa
51,34,15,2,setosa
5,35,13,3,setosa
45,23,13,3,setosa
44,32,13,2,setosa
5,35,16,6,setosa
51,38,19,4,setosa
48,3,14,3,setosa
51,38,16,2,setosa
46,32,14,2,setosa
53,37,15,2,setosa
5,33,14,2,setosa
7,32,47,14,versicolor
64,32,45,15,versicolor
69,31,49,15,versicolor
55,23,4,13,versicolor
65,28,46,15,versicolor
57,28,45,13,versicolor
63,33,47,16,versicolor
49,24,33,1,versicolor
66,29,46,13,versicolor
52,27,39,14,versicolor
5,2,35,1,versicolor
59,3,42,15,versicolor
6,22,4,1,versicolor
61,29,47,14,versicolor
56,29,36,13,versicolor
67,31,44,14,versicolor
56,3,45,15,versicolor
58,27,41,1,versicolor
62,22,45,15,versicolor
56,25,39,11,versicolor
59,32,48,18,versicolor
61,28,4,13,versicolor
63,25,49,15,versicolor
61,28,47,12,versicolor
64,29,43,13,versicolor
66,3,44,14,versicolor
68,28,48,14,versicolor
67,3,5,17,versicolor
6,29,45,15,versicolor
57,26,35,1,versicolor
55,24,38,11,versicolor
55,24,37,1,versicolor
58,27,39,12,versicolor
6,27,51,16,versicolor
54,3,45,15,versicolor
6,34,45,16,versicolor
67,31,47,15,versicolor
63,23,44,13,versicolor
56,3,41,13,versicolor
55,25,4,13,versicolor
55,26,44,12,versicolor
61,3,46,14,versicolor
58,26,4,12,versicolor
5,23,33,1,versicolor
56,27,42,13,versicolor
57,3,42,12,versicolor
57,29,42,13,versicolor
62,29,43,13,versicolor
51,25,3,11,versicolor
57,28,41,13,versicolor
63,33,6,25,virginica
58,27,51,19,virginica
71,3,59,21,virginica
63,29,56,18,virginica
65,3,58,22,virginica
76,3,66,21,virginica
49,25,45,17,virginica
73,29,63,18,virginica
67,25,58,18,virginica
72,36,61,25,virginica
65,32,51,2,virginica
64,27,53,19,virginica
68,3,55,21,virginica
57,25,5,2,virginica
58,28,51,24,virginica
64,32,53,23,virginica
65,3,55,18,virginica
77,38,67,22,virginica
77,26,69,23,virginica
6,22,5,15,virginica
69,32,57,23,virginica
56,28,49,2,virginica
77,28,67,2,virginica
63,27,49,18,virginica
67,33,57,21,virginica
72,32,6,18,virginica
62,28,48,18,virginica
61,3,49,18,virginica
64,28,56,21,virginica
72,3,58,16,virginica
74,28,61,19,virginica
79,38,64,2,virginica
64,28,56,22,virginica
63,28,51,15,virginica
61,26,56,14,virginica
77,3,61,23,virginica
63,34,56,24,virginica
64,31,55,18,virginica
6,3,48,18,virginica
69,31,54,21,virginica
67,31,56,24,virginica
69,31,51,23,virginica
58,27,51,19,virginica
68,32,59,23,virginica
67,33,57,25,virginica
67,3,52,23,virginica
63,25,5,19,virginica
65,3,52,2,virginica
62,34,54,23,virginica
59,3,51,18,virginica
