time,Passengers,Station,variable,value
5:00,12,Deák tér - Bajcsi-Zsilinszky út,500,12
6:00,212,Deák tér - Bajcsi-Zsilinszky út,500,212
7:00,530,Deák tér - Bajcsi-Zsilinszky út,500,530
8:00,1578,Deák tér - Bajcsi-Zsilinszky út,500,1578
9:00,1662,Deák tér - Bajcsi-Zsilinszky út,500,1662
10:00,1214,Deák tér - Bajcsi-Zsilinszky út,500,1214
11:00,1049,Deák tér - Bajcsi-Zsilinszky út,500,1049
12:00,988,Deák tér - Bajcsi-Zsilinszky út,500,988
13:00,1012,Deák tér - Bajcsi-Zsilinszky út,500,1012
14:00,1187,Deák tér - Bajcsi-Zsilinszky út,500,1187
15:00,1362,Deák tér - Bajcsi-Zsilinszky út,500,1362
16:00,1652,Deák tér - Bajcsi-Zsilinszky út,500,1652
17:00,1839,Deák tér - Bajcsi-Zsilinszky út,500,1839
18:00,1805,Deák tér - Bajcsi-Zsilinszky út,500,1805
19:00,2168,Deák tér - Bajcsi-Zsilinszky út,500,2168
20:00,942,Deák tér - Bajcsi-Zsilinszky út,500,942
21:00,696,Deák tér - Bajcsi-Zsilinszky út,500,696
22:00,413,Deák tér - Bajcsi-Zsilinszky út,500,413
23:00,246,Deák tér - Bajcsi-Zsilinszky út,500,246
0:00,109,Vörösmarty tér - Deák tér,500,109
5:00,2,Vörösmarty tér - Deák tér,500,2
6:00,16,Vörösmarty tér - Deák tér,500,16
7:00,48,Vörösmarty tér - Deák tér,500,48
8:00,69,Vörösmarty tér - Deák tér,500,69
9:00,81,Vörösmarty tér - Deák tér,500,81
10:00,129,Vörösmarty tér - Deák tér,500,129
11:00,163,Vörösmarty tér - Deák tér,500,163
12:00,224,Vörösmarty tér - Deák tér,500,224
13:00,205,Vörösmarty tér - Deák tér,500,205
14:00,285,Vörösmarty tér - Deák tér,500,285
15:00,272,Vörösmarty tér - Deák tér,500,272
16:00,342,Vörösmarty tér - Deák tér,500,342
17:00,644,Vörösmarty tér - Deák tér,500,644
18:00,416,Vörösmarty tér - Deák tér,500,416
19:00,396,Vörösmarty tér - Deák tér,500,396
20:00,221,Vörösmarty tér - Deák tér,500,221
21:00,149,Vörösmarty tér - Deák tér,500,149
22:00,121,Vörösmarty tér - Deák tér,500,121
23:00,67,Vörösmarty tér - Deák tér,500,67
0:00,30,Vörösmarty tér - Deák tér,500,30
5:00,12,Deák tér - Bajcsi-Zsilinszky út,1000,-488
6:00,212,Deák tér - Bajcsi-Zsilinszky út,1000,-288
7:00,530,Deák tér - Bajcsi-Zsilinszky út,1000,30
8:00,1578,Deák tér - Bajcsi-Zsilinszky út,1000,1078
9:00,1662,Deák tér - Bajcsi-Zsilinszky út,1000,1162
10:00,1214,Deák tér - Bajcsi-Zsilinszky út,1000,714
11:00,1049,Deák tér - Bajcsi-Zsilinszky út,1000,549
12:00,988,Deák tér - Bajcsi-Zsilinszky út,1000,488
13:00,1012,Deák tér - Bajcsi-Zsilinszky út,1000,512
14:00,1187,Deák tér - Bajcsi-Zsilinszky út,1000,687
