Group,Venditor,2010-1,2010-2,2010-3,2010-4,2011-1,2011-2,2011-3,2011-4,2012-1
Group_1,Vendor_1,813,194,937,719,840,322,326,567,333
Group_1,Vendor_2,242,486,531,556,858,792,637,343,771
Group_1,Vendor_3,258,171,848,979,690,598,651,731,149
Group_2,Vendor_4,903,653,800,465,149,656,958,309,465
Group_2,Vendor_5,339,113,670,561,385,178,458,946,983
Group_2,Vendor_6,311,242,309,196,162,337,701,998,507
Group_2,Vendor_7,338,840,447,294,442,665,316,449,781
Group_3,Vendor_8,706,485,980,487,347,846,121,532,674
Group_3,Vendor_9,573,705,984,525,699,904,723,419,878
Group_3,Vendor_10,494,198,727,148,887,847,350,912,595
