label,variable,value
lbl_1,mutate_a,85
lbl_2,mutate_a,26
lbl_3,mutate_a,68
lbl_4,mutate_a,93
lbl_5,mutate_a,83
lbl_6,mutate_a,100
lbl_7,mutate_a,89
lbl_8,mutate_a,85
lbl_9,mutate_a,42
lbl_10,mutate_a,62
lbl_11,mutate_a,34
lbl_12,mutate_a,51
lbl_13,mutate_a,4
lbl_14,mutate_a,62
lbl_15,mutate_a,65
lbl_16,mutate_a,16
lbl_17,mutate_a,66
lbl_18,mutate_a,64
lbl_19,mutate_a,40
lbl_20,mutate_a,38
lbl_21,mutate_a,4
lbl_1,values,15
lbl_2,values,74
lbl_3,values,32
lbl_4,values,7
lbl_5,values,17
lbl_6,values,0
lbl_7,values,11
lbl_8,values,15
lbl_9,values,58
lbl_10,values,38
lbl_11,values,66
lbl_12,values,49
lbl_13,values,96
lbl_14,values,38
lbl_15,values,35
lbl_16,values,84
lbl_17,values,34
lbl_18,values,36
lbl_19,values,60
lbl_20,values,62
lbl_21,values,96
