year,product,Q4,Q3,Q2,Q1
2011,Product1_2011,3,5,5,10
2011,Product2_2011,5,7,5,2
2011,Product3_2011,3,9,10,7
2011,Product4_2011,3,2,8,1
2011,Product5_2011,1,7,1,6
2011,Product6_2011,9,1,6,1
2012,Product1_2012,3,3,6,4
2012,Product2_2012,4,3,6,4
2012,Product3_2012,3,6,6,4
2012,Product4_2012,4,10,6,1
2012,Product5_2012,8,5,4,7
2012,Product6_2012,8,8,8,6
2013,Product1_2013,10,2,3,9
2013,Product2_2013,8,6,7,7
2013,Product3_2013,9,8,4,9
2013,Product4_2013,5,9,5,2
2013,Product5_2013,1,5,2,4
2013,Product6_2013,8,10,6,4
