"Date","DayOfWeek","Url","Hits"
"09/01/2016","Thursday","url1",3
"09/01/2016","Thursday","url2",5
"09/01/2016","Thursday","url3",4
"09/02/2016","Friday","url1",7
"09/02/2016","Friday","url3",6
"09/03/2016","Saturday","url2",9
"09/03/2016","Saturday","url1",5
"09/04/2016","Sunday","url2",6
"09/07/2016","Wednesday","url10",4
"09/07/2016","Thursday","url2",3
"09/07/2016","Thursday","url4",2
"09/07/2016","Thursday","url5",3
"09/07/2016","Thursday","url1",3
"09/08/2016","Friday","url1",3
"09/08/2016","Friday","url4",3
"09/08/2016","Friday","url5",2
"09/08/2016","Friday","url8",6
"09/09/2016","Saturday","url2",1
"09/09/2016","Saturday","url3",2
"09/09/2016","Saturday","url5",4
"09/09/2016","Saturday","url1",8
"09/14/2016","Thursday","url1",3
"09/147/2016","Thursday","url2",2
"09/14/2016","Thursday","url3",3
