"carat","cut","color","clarity","depth","table","price","x","y","z"
0.32,"Premium","E","SI2",61.2,58,449,4.39,4.44,2.7
0.41,"Ideal","E","SI1",61.2,55,824,4.8,4.84,2.95
0.82,"Premium","E","SI1",62.5,56,3295,6.01,5.96,3.74
0.34,"Ideal","E","SI1",63,55,765,4.47,4.42,2.8
0.5,"Premium","E","SI1",62.4,58,1155,5.06,5.01,3.14
0.9,"Good","E","SI2",63.2,57,3401,6.06,6.15,3.86
0.5,"Ideal","I","SI1",62,55,982,5.08,5.11,3.16
1.43,"Ideal","J","SI1",60.5,58,6789,7.25,7.34,4.41
1.5,"Premium","E","SI1",61.4,59,11638,7.41,7.24,4.5
2.05,"Ideal","J","SI1",60.3,60,14037,8.17,8.24,4.95
1.22,"Premium","I","SI2",61.7,59,4735,6.84,6.8,4.21
0.5,"Good","E","SI1",63.8,55,1316,5.04,5.09,3.23
0.5,"Ideal","E","SI1",61.5,57,1700,5.08,5.1,3.13
0.7,"Premium","E","SI1",61.3,58,2777,5.71,5.68,3.49
0.38,"Ideal","E","SI1",62.3,53,660,4.65,4.69,2.91
1.23,"Ideal","I","SI2",60.6,57,4805,6.97,6.88,4.2
1.02,"Good","J","SI2",62.2,61,3639,6.41,6.48,4.01
1.72,"Ideal","J","SI1",62,57,8688,7.66,7.62,4.74
0.71,"Ideal","E","SI2",59.3,56,2388,5.89,5.84,3.48
1.01,"Good","I","SI1",63.6,55,3959,6.39,6.31,4.04
1.61,"Ideal","E","SI2",61.6,56,9961,7.54,7.62,4.67
1.24,"Ideal","J","SI1",61.8,57,4875,6.92,6.86,4.26
1.43,"Ideal","J","SI1",62.1,58,6546,7.23,7.16,4.47
1.01,"Ideal","E","SI1",62.1,57,5372,6.4,6.45,3.99
1.01,"Good","E","SI1",63.8,60,4256,6.36,6.31,4.04
0.91,"Good","I","SI2",57.9,60,3061,6.46,6.39,3.72
0.38,"Ideal","E","SI2",61.2,57,812,4.71,4.67,2.87
0.9,"Premium","E","SI1",61.9,58,4209,6.17,6.1,3.8
0.41,"Premium","E","SI2",60,59,876,4.82,4.78,2.88
1.24,"Ideal","I","SI2",61.8,58,5866,6.85,6.9,4.25
