"Country","Year","Orders"
"E",2014,18
"A",2015,4
"E",2015,19
"A",2014,20
"D",2015,14
"E",2014,12
"A",2014,8
"B",2014,4
"C",2015,2
"A",2014,0
"C",2015,6
"B",2014,13
"C",2014,10
"A",2015,4
"A",2014,2
"D",2015,2
"C",2014,5
"A",2015,0
"E",2014,11
"C",2015,1
"A",2014,19
"E",2014,8
"E",2014,16
"B",2014,18
"B",2014,4
"C",2015,7
"D",2015,3
"C",2014,1
"A",2014,7
"A",2014,12
"E",2015,16
"A",2014,4
"B",2015,15
"D",2015,3
"E",2014,6
"E",2014,18
"D",2015,7
"B",2015,0
"E",2014,16
"E",2015,19
"B",2015,9
"D",2015,17
"D",2014,19
"D",2014,12
"D",2015,17
"A",2014,11
"B",2015,15
"B",2015,13
"C",2014,11
"E",2015,2
